-42,32.814
-41,31.964
-40,31.117
-39,30.271
-38,29.429
-37,28.590
-36,27.754
-35,26.921
-34,26.092
-33,25.266
-32,24.445
-31,23.627
-30,22.813
-29,22.004
-28,21.198
-27,20.397
-26,19.600
-25,18.807
-24,18.018
-23,17.233
-22,16.452
-21,15.675
-20,14.902
-19,14.133
-18,13.367
-17,12.605
-16,11.846
-15,11.090
-14,10.338
-13,9.588
-12,8.841
-11,8.097
-10,7.355
-9,6.615
-8,5.876
-7,5.140
-6,4.404
-5,3.670
-4,2.936
-3,2.202
-2,1.469
-1,0.735
0,0.000
1,-0.736
2,-1.474
3,-2.213
4,-2.956
5,-3.702
6,-4.452
7,-5.206
8,-5.966
9,-6.732
10,-7.505
11,-8.286
12,-9.077
13,-9.878
14,-10.692
15,-11.519
16,-12.362
17,-13.223
18,-14.105
19,-15.010
20,-15.943
21,-16.908
22,-17.912
23,-18.961
24,-20.066
25,-21.240
26,-22.502
27,-23.880
28,-25.421
29,-27.209
30,-29.440
